Word,Length,SUBTLCD,Pron
abasement,9,NULL,"@.b""es.m@nt"
abash,5,NULL,"@.b""aS"
Abe,3,NULL,"""eb"
Abel's,6,NULL,"""e.bl=z"
abridgment,10,NULL,"@.br""IdZ.m@nt"
abscissa,8,NULL,"ab.s""I.s@"
absented,8,NULL,"ab.s""En4.@d"
absently,8,NULL,"""ab.sn=t.li"
absinth,7,NULL,"""ab.sInT"
absentmindedly,14,NULL,"%ab.sn=t.m""aIn4.@d.li"
absolutism,10,NULL,"""ab.s@.l%u4.I.zm="
absorbency,10,NULL,"@b.z""Orb.@n.si"
absorptive,10,NULL,"@b.z""Orp.tIv"
abstractedness,14,NULL,"@b.str""akt.@d.n@s"
abstractionism,14,NULL,"ab""strakS@%nIz@m"
abstractionists,15,NULL,"@b.str""ak.Sn=.Ists"
abstractive,11,NULL,"ab""straktIv"
abstractors,11,NULL,"ab.str""akt.@`z"
academicianship,15,NULL,"@.k%a.4@.m""I.Sn=.S%Ip"
accelerando,11,NULL,"ak.s%E.l@`.r""An.4o"
accelerations,13,NULL,"@k.s%E.l@`.r""e.Sn=z"
accelerometer,13,NULL,"@k.s%E.l@`.r""A.m@.4@`"
accelerometers,14,NULL,"@k.s%E.l@`.r""A.m@.4@`z"
accenting,9,NULL,"""ak.sEn4.IN"
accentual,9,NULL,"ak.s""En.tSu@l"
accessions,10,NULL,"@k.s""E.Sn=z"
accessors,9,NULL,"""ak.sEs.@`z"
accompaniments,14,NULL,"@.k""Vm.p@.nI.m@nts"
accredit,8,NULL,"@.kr""E.4@t"
acculturated,12,NULL,"@.k""Vl.tSu.r%e4.@d"
acculturation,13,NULL,"@.k%Vl.tSu.r""e.Sn="
accurst,7,NULL,"@.k""3`st"
accusative,10,NULL,"@.kj""uz.@.4Iv"
accusingly,10,NULL,"@.kj""uz.IN.li"
actor's,7,NULL,"""akt@`z"
Ada,3,NULL,"""e.4@"
wonderingly,11,NULL,"w""Vn.4@`.IN.li"
won't,5,NULL,"w""ont"
woodcut,7,NULL,"w""Ud.k%Vt"
woodgraining,12,NULL,"w""Ud.gr%en.IN"
woodyard,8,NULL,"w""Ud.j%Ard"
woolworkers,11,NULL,"w""Ul.w%3`k.@`z"
Woolworth's,11,NULL,"w""Ulw%@`Ts"
Wordsworth,10,NULL,"w""3`dz.w@`T"
workbag,7,NULL,"w""3`k.b%ag"
workbasket,10,NULL,"w""3`k.b%a.sk@t"
worker's,8,NULL,"w""3`k.@`z"
workman's,9,NULL,"w""3`k.m@nz"
workpeople,10,NULL,"w""3`k.p%i.pl="
workpiece,9,NULL,"w""3`k.p%is"
work's,6,NULL,"w""3`ks"
worktable,9,NULL,"w""3`k.t%e.bl="
world's,7,NULL,"w""3`ldz"
worldshaking,12,NULL,"w3`ld.""SekIN"
wornout,7,NULL,"w%Orn.""aUt"
wouldbe,7,NULL,"w""Ud.b%i"
wouldn't,8,NULL,"w""Ud.n=t"
wreathe,7,NULL,"r""iD"
wrestler's,10,NULL,"r""Es.l@`z"
wrestlings,10,NULL,"r""Es.lINz"
writer's,8,NULL,"r""aI4.@`z"
writhed,7,NULL,"r""aIDd"
Wyndham's,9,NULL,"w""Ind@mz"
Xavier,6,NULL,"z""e.vi@`"
Xavier's,8,NULL,"z""e.vi@`z"
yachters,8,NULL,"j""At@`z"
Yale's,6,NULL,"j""elz"
Yalta,5,NULL,"j""Ol.t@"
yearningly,10,NULL,"j""3`n.IN.li"
year's,6,NULL,"j""Irz"
yeasty,6,NULL,"j""ist.i"
Yeats,5,NULL,"j""ets"
yellowish,9,NULL,"j""E.lo.IS"
yesterday's,11,NULL,"j""E.st@`.d%ez"
Yorker's,8,NULL,"j""Ork@`z"
York's,6,NULL,"j""Orks"
Yorktown,8,NULL,"j""Ork.taUn"
you'd,5,NULL,"j""ud"
you'll,6,NULL,"j""ul"
young's,7,NULL,"j""VNz"
youngster's,11,NULL,"j""@Nst@`z"
you're,6,NULL,"j""Ur"
you've,6,NULL,"j""uv"
Yucatan,7,NULL,"j%u.k@.t""an"
where'd,7,NULL,"hw""Erd"
where'll,8,NULL,"""hwErl"
where're,8,NULL,"hw""Er.@`"
where's,7,NULL,"hw""Erz"
wheresoever,11,NULL,"hw%Er.s%o.""E.v@`"
where've,8,NULL,"""hwErv"
whichsoever,11,NULL,"hw%ItS.s%o.""E.v@`"
whimsey,7,NULL,"hw""Im.zi"
whiplashes,10,NULL,"hw""Ip.l%aS.@z"
whip's,6,NULL,"hw""Ips"
whirlwind's,11,NULL,"hw""3`l.w%Indz"
whitecap,8,NULL,"hw""aIt.k%ap"
whitehaired,11,NULL,"hw%aIt.h""Erd"
whitehead's,11,NULL,"w""aIth%Edz"
whitens,7,NULL,"hw""aIt.n=z"
white's,7,NULL,"hw""aIts"
Whitman's,9,NULL,"w""Itm@nz"
who'd,5,NULL,"h""ud"
wholemeal,9,NULL,"h""ol.m%il"
wholes,6,NULL,"h""olz"
who'll,6,NULL,"h""ul"
who're,6,NULL,"""hu@`"
who's,5,NULL,"h""uz"
